,1 2,1 3,1 4,1 5,2 3,2 4,2 5,3 4,3 5,4 5
0,0.47,0.26,0.07,0.59,0.23,0.45,0.55,0.26,0.6,0.52
1,0.48,0.28,0.06,0.59,0.22,0.45,0.55,0.27,0.59,0.53
2,0.46,0.29,0.05,0.58,0.2,0.44,0.55,0.28,0.59,0.54
3,0.45,0.28,0.03,0.58,0.19,0.44,0.55,0.28,0.59,0.55
4,0.45,0.28,0.03,0.58,0.19,0.45,0.56,0.29,0.59,0.55
5,0.45,0.28,0.03,0.59,0.19,0.46,0.55,0.3,0.59,0.56
6,0.44,0.28,0.03,0.58,0.17,0.46,0.56,0.3,0.58,0.58
7,0.44,0.29,0.02,0.58,0.15,0.46,0.56,0.32,0.55,0.58
8,0.44,0.29,0.04,0.58,0.15,0.48,0.56,0.33,0.53,0.59
9,0.45,0.3,0.03,0.56,0.15,0.48,0.57,0.33,0.53,0.59
10,0.45,0.28,0.04,0.56,0.17,0.48,0.57,0.32,0.51,0.59
11,0.44,0.27,0.05,0.54,0.17,0.48,0.57,0.31,0.5,0.59
12,0.42,0.24,0.08,0.52,0.18,0.48,0.57,0.31,0.49,0.59
13,0.42,0.24,0.08,0.52,0.18,0.48,0.57,0.3,0.48,0.58
14,0.42,0.23,0.09,0.51,0.19,0.49,0.57,0.31,0.47,0.59
15,0.42,0.23,0.1,0.51,0.19,0.5,0.57,0.32,0.47,0.59
16,0.42,0.23,0.1,0.51,0.2,0.5,0.58,0.32,0.47,0.6
17,0.42,0.23,0.11,0.51,0.21,0.52,0.59,0.33,0.46,0.6
18,0.43,0.22,0.11,0.51,0.22,0.52,0.59,0.33,0.45,0.6
19,0.43,0.2,0.11,0.51,0.26,0.52,0.62,0.3,0.44,0.6
20,0.44,0.2,0.1,0.51,0.27,0.52,0.63,0.3,0.43,0.59
21,0.44,0.21,0.08,0.51,0.27,0.5,0.62,0.28,0.43,0.57
22,0.45,0.2,0.06,0.51,0.29,0.48,0.63,0.25,0.42,0.56
23,0.46,0.18,0.04,0.51,0.31,0.48,0.64,0.22,0.42,0.55
24,0.46,0.18,0.04,0.49,0.32,0.49,0.64,0.22,0.41,0.52
25,0.47,0.18,0.03,0.47,0.33,0.49,0.63,0.21,0.38,0.5
26,0.47,0.18,0.02,0.46,0.35,0.46,0.63,0.18,0.37,0.48
27,0.49,0.18,0.04,0.44,0.35,0.46,0.63,0.17,0.36,0.47
28,0.51,0.18,0.06,0.4,0.36,0.46,0.65,0.16,0.35,0.43
29,0.51,0.18,0.06,0.39,0.37,0.46,0.65,0.14,0.34,0.42
30,0.51,0.18,0.06,0.4,0.37,0.45,0.66,0.14,0.35,0.42
31,0.52,0.18,0.06,0.39,0.37,0.46,0.66,0.13,0.35,0.41
