node_1,node_2,start_of_interaction,end_of_interaction,duration
11989,11990,484,493,9
11989,11990,525,539,14
11989,11990,543,544,1
11989,11990,1320,1326,6
11989,11990,1929,1960,31
11989,11990,2484,2513,29
11989,11990,2532,2548,16
11989,11990,2560,2564,4
11989,11990,2926,2929,3
11989,11990,2972,2986,14
11989,11990,3056,3069,13
11989,11990,3103,3115,12
11989,11990,3172,3174,2
11989,11990,3425,3439,14
11989,11990,3536,3558,22
11989,11990,4375,4391,16
11989,11990,4753,4758,5
11989,11990,5104,5111,7
11989,11990,5259,5303,44
11989,11990,5818,5845,27
11989,11990,5926,5962,36
11989,11990,6425,6459,34
11989,11990,7422,7424,2
11989,11990,7497,7498,1
11989,11990,7647,7648,1
11989,11990,8006,8021,15
11989,11990,8720,8731,11
11989,11990,9559,9583,24
11989,11990,9857,9883,26
11989,11990,12397,12404,7
11989,11990,12573,12604,31
11989,11990,12734,12742,8
11989,11990,12748,12799,51
11989,11990,12801,12802,1
11989,11990,12804,12837,33
11989,11990,12846,12853,7
11989,11990,13639,13666,27
11989,11990,13732,13736,4
11989,11990,13768,13790,22
11989,11990,14557,14569,12
11989,11990,14677,14698,21
11989,11990,14702,14705,3
11989,11990,15419,15437,18
11989,11990,16102,16121,19
11989,11990,17987,18002,15
11989,11990,18009,18031,22
11989,11990,18257,18276,19
11989,11990,19350,19351,1
11989,11990,19761,19770,9
11989,11990,20522,20530,8
11989,11990,21028,21034,6
11989,11990,21054,21113,59
11989,11990,21163,21184,21
11989,11990,21394,21400,6
11989,11990,21405,21429,24
11989,11990,21896,21915,19
11989,11990,21990,22013,23
11989,11990,22199,22206,7
11989,11990,22288,22299,11
11989,11990,22301,22302,1
11989,11990,22314,22330,16
11989,11990,22578,22603,25
11989,11990,22613,22637,24
11989,11990,23103,23132,29
11989,11990,23441,23450,9
11989,11990,23452,23457,5
11989,11990,23991,24008,17
11989,11990,24116,24127,11
11989,11990,24163,24179,16
11989,11990,24975,24980,5
11989,11990,24983,24984,1
11989,11990,27672,27713,41
11989,11990,27757,27777,20
11989,11990,28162,28166,4
11989,11991,456,458,2
11989,11991,461,469,8
11989,11991,502,509,7
11989,11991,1181,1199,18
11989,11991,1486,1494,8
11989,11991,1532,1542,10
11989,11991,2760,2776,16
11989,11991,2812,2817,5
11989,11991,2820,2822,2
11989,11991,3514,3523,9
11989,11991,3925,3926,1
11989,11991,3932,3938,6
11989,11991,3948,3977,29
11989,11991,4054,4072,18
11989,11991,4723,4738,15
11989,11991,4877,4893,16
11989,11991,4960,4986,26
11989,11991,5041,5045,4
11989,11991,5048,5065,17
11989,11991,5077,5105,28
11989,11991,6035,6042,7
11989,11991,6078,6091,13
11989,11991,6093,6095,2
11989,11991,6098,6102,4
11989,11991,6317,6339,22
11989,11991,7440,7455,15
11989,11991,7536,7578,42
11989,11991,7618,7663,45
11989,11991,7732,7741,9
11989,11991,7994,8011,17
11989,11991,8920,8925,5
11989,11991,8996,9011,15
11989,11991,9417,9454,37
11989,11991,9500,9543,43
11989,11991,9685,9690,5
11989,11991,11052,11053,1
11989,11991,11674,11675,1
11989,11991,11695,11704,9
11989,11991,12345,12358,13
11989,11991,14220,14241,21
11989,11991,14388,14390,2
11989,11991,14731,14737,6
11989,11991,14805,14821,16
11989,11991,14991,15008,17
11989,11991,15023,15036,13
11989,11991,15100,15114,14
11989,11991,15124,15142,18
11989,11991,16809,16822,13
11989,11991,16865,16887,22
11989,11991,17541,17563,22
11989,11991,18369,18388,19
11989,11991,18451,18462,11
11989,11991,18478,18491,13
11989,11991,18820,18824,4
11989,11991,19590,19608,18
11989,11991,20418,20438,20
11989,11991,22716,22734,18
11989,11991,22760,22764,4
11989,11991,22915,22918,3
11989,11991,22928,22981,53
11989,11991,24901,24917,16
11989,11991,24943,24944,1
11989,11991,24946,24950,4
11989,11991,25133,25136,3
11989,11991,25146,25165,19
11989,11991,25174,25188,14
11989,11991,25965,25990,25
11989,11992,0,65,65
11989,11992,478,493,15
11989,11992,803,832,29
11989,11992,955,957,2
11989,11992,961,977,16
11989,11992,1683,1725,42
11989,11992,1962,1963,1
11989,11992,1968,1972,4
11989,11992,2000,2015,15
11989,11992,3397,3416,19
11989,11992,3710,3730,20
11989,11992,5207,5227,20
11989,11992,5313,5335,22
11989,11992,5496,5503,7
11989,11992,5524,5527,3
11989,11992,6550,6585,35
11989,11992,6589,6599,10
11989,11992,6926,6948,22
11989,11992,7876,7895,19
11989,11992,8504,8530,26
11989,11992,8532,8539,7
11989,11992,8543,8545,2
11989,11992,8568,8686,118
11989,11992,8700,8701,1
11989,11992,8709,8717,8
11989,11992,9586,9627,41
11989,11992,9742,9765,23
11989,11992,9807,9842,35
11989,11992,11120,11155,35
11989,11992,11194,11288,94
11989,11992,11312,11342,30
11989,11992,11349,11350,1
11989,11992,11354,11362,8
11989,11992,11401,11446,45
11989,11992,11451,11461,10
11989,11992,11523,11562,39
11989,11992,12095,12096,1
11989,11992,14207,14224,17
11989,11992,14231,14239,8
11989,11992,16130,16146,16
11989,11992,16201,16220,19
11989,11992,17153,17177,24
11989,11992,17196,17213,17
11989,11992,19331,19341,10
11989,11992,19432,19443,11
11989,11992,20375,20393,18
11989,11992,20529,20534,5
11989,11992,21658,21667,9
11989,11992,21818,21834,16
11989,11992,21928,21937,9
11989,11992,21942,21951,9
11989,11992,21957,21960,3
11989,11992,23135,23149,14
11989,11992,24630,24636,6
11989,11992,25386,25391,5
11989,11992,25812,25829,17
11989,11992,26726,26750,24
11989,11992,26860,26924,64
11989,11992,26940,26957,17
11989,11992,26961,26990,29
11989,11992,27194,27227,33
11989,11992,27250,27274,24
11989,11992,27940,27985,45
11989,11992,28000,28003,3
11989,11993,1667,1671,4
11989,11993,2385,2387,2
11989,11993,2668,2719,51
11989,11993,2873,2891,18
11989,11993,3236,3258,22
11989,11993,3429,3440,11
11989,11993,4592,4612,20
11989,11993,4646,4652,6
11989,11993,5319,5324,5
11989,11993,6605,6624,19
11989,11993,7897,7905,8
11989,11993,8022,8023,1
11989,11993,9592,9593,1
11989,11993,9648,9678,30
11989,11993,9692,9711,19
11989,11993,9983,10024,41
11989,11993,10422,10444,22
11989,11993,10557,10562,5
11989,11993,11238,11289,51
11989,11993,11294,11304,10
11989,11993,11430,11462,32
11989,11993,11496,11530,34
11989,11993,11559,11561,2
11989,11993,11564,11577,13
11989,11993,11584,11599,15
11989,11993,13426,13436,10
11989,11993,13711,13728,17
11989,11993,13822,13830,8
11989,11993,13934,13957,23
11989,11993,14546,14581,35
11989,11993,14628,14657,29
11989,11993,14663,14682,19
11989,11993,14801,14823,22
11989,11993,14825,14826,1
11989,11993,15184,15212,28
11989,11993,15242,15264,22
11989,11993,15355,15360,5
11989,11993,15434,15444,10
11989,11993,16050,16065,15
11989,11993,16092,16106,14
11989,11993,17451,17452,1
11989,11993,17468,17502,34
11989,11993,18623,18638,15
11989,11993,20388,20407,19
11989,11993,20450,20469,19
11989,11993,20534,20540,6
11989,11993,20545,20551,6
11989,11993,21875,21878,3
11989,11993,22441,22457,16
11989,11993,22988,22995,7
11989,11993,22997,23005,8
11989,11993,23028,23069,41
11989,11993,24596,24664,68
11989,11993,26823,26827,4
11989,11993,26845,26856,11
11989,11993,27337,27348,11
11989,11993,27436,27474,38
11989,11994,759,766,7
11989,11994,946,963,17
11989,11994,1519,1528,9
11989,11994,2508,2526,18
11989,11994,3129,3134,5
11989,11994,3362,3379,17
11989,11994,3719,3721,2
11989,11994,3916,3946,30
11989,11994,3952,3978,26
11989,11994,3994,4017,23
11989,11994,4795,4797,2
11989,11994,4805,4885,80
11989,11994,4893,4903,10
11989,11994,4907,4908,1
11989,11994,4921,4937,16
11989,11994,4981,5024,43
11989,11994,5027,5046,19
11989,11994,5095,5098,3
11989,11994,5102,5104,2
11989,11994,5106,5109,3
11989,11994,5413,5435,22
11989,11994,5457,5464,7
11989,11994,6022,6037,15
11989,11994,6066,6081,15
11989,11994,7047,7082,35
11989,11994,7623,7691,68
11989,11994,8061,8080,19
11989,11994,8341,8356,15
11989,11994,9852,9888,36
11989,11994,9950,9955,5
11989,11994,10361,10428,67
11989,11994,10434,10436,2
11989,11994,10438,10444,6
11989,11994,10459,10503,44
11989,11994,10686,10702,16
11989,11994,10771,10814,43
11989,11994,10839,10871,32
11989,11994,10901,10912,11
11989,11994,10949,10966,17
11989,11994,14082,14088,6
11989,11994,14266,14284,18
11989,11994,14478,14494,16
11989,11994,14566,14587,21
11989,11994,14607,14609,2
11989,11994,15577,15583,6
11989,11994,15998,16031,33
11989,11994,16109,16118,9
11989,11994,17588,17607,19
11989,11994,17656,17661,5
11989,11994,17772,17778,6
11989,11994,17816,17825,9
11989,11994,18697,18724,27
11989,11994,18762,18777,15
11989,11994,18847,18860,13
11989,11994,19038,19103,65
11989,11994,19116,19134,18
11989,11994,19136,19138,2
11989,11994,19637,19652,15
11989,11994,20028,20030,2
11989,11994,22012,22060,48
11989,11994,22064,22097,33
11989,11994,22187,22198,11
11989,11994,22229,22234,5
11989,11994,22709,22733,24
11989,11994,22832,22863,31
11989,11994,23154,23199,45
11989,11994,24602,24604,2
11989,11994,24609,24624,15
11989,11994,24628,24631,3
11989,11994,24659,24677,18
11989,11994,24689,24741,52
11989,11994,24743,24757,14
11989,11994,25569,25574,5
11989,11994,25754,25776,22
11989,11994,25794,25815,21
11989,11994,25858,25865,7
11989,11994,25953,25973,20
11989,11994,25977,25986,9
11989,11994,25994,26009,15
11989,11994,26016,26060,44
11989,11994,26388,26398,10
11989,11994,26425,26440,15
11989,11994,26823,26826,3
11989,11994,26828,26847,19
11989,11994,27361,27382,21
11989,11994,27397,27406,9
11989,11994,27412,27424,12
11989,11994,27486,27491,5
11989,11995,8,44,36
11989,11995,167,176,9
11989,11995,448,495,47
11989,11995,511,529,18
11989,11995,1522,1539,17
11989,11995,1837,1845,8
11989,11995,3239,3240,1
11989,11995,3243,3246,3
11989,11995,3250,3274,24
11989,11995,3352,3359,7
11989,11995,3364,3381,17
11989,11995,3387,3392,5
11989,11995,3680,3686,6
11989,11995,3910,3925,15
11989,11995,4132,4133,1
11989,11995,4136,4198,62
11989,11995,4200,4201,1
11989,11995,4203,4206,3
11989,11995,4477,4480,3
11989,11995,4508,4544,36
11989,11995,4577,4600,23
11989,11995,5146,5160,14
11989,11995,5262,5294,32
11989,11995,5315,5318,3
11989,11995,5421,5430,9
11989,11995,5448,5504,56
11989,11995,5516,5542,26
11989,11995,5980,5984,4
11989,11995,6013,6025,12
11989,11995,6092,6099,7
11989,11995,6867,6870,3
11989,11995,7025,7034,9
11989,11995,7047,7058,11
11989,11995,7105,7108,3
11989,11995,7116,7139,23
11989,11995,7314,7333,19
11989,11995,7354,7370,16
11989,11995,7565,7566,1
11989,11995,7722,7723,1
11989,11995,7725,7728,3
11989,11995,7935,7947,12
11989,11995,8055,8084,29
11989,11995,8158,8163,5
11989,11995,8173,8191,18
11989,11995,8204,8227,23
11989,11995,8233,8239,6
11989,11995,8272,8282,10
11989,11995,10526,10539,13
11989,11995,11229,11267,38
11989,11995,11575,11612,37
11989,11995,11633,11658,25
11989,11995,11704,11772,68
11989,11995,11858,11871,13
11989,11995,14298,14304,6
11989,11995,14480,14481,1
11989,11995,15253,15279,26
11989,11995,15297,15301,4
11989,11995,15320,15353,33
11989,11995,15359,15380,21
11989,11995,15431,15433,2
11989,11995,17168,17176,8
11989,11995,17279,17285,6
11989,11995,17288,17308,20
11989,11995,18415,18426,11
11989,11995,18428,18454,26
11989,11995,18463,18474,11
11989,11995,18485,18497,12
11989,11995,18507,18522,15
11989,11995,18790,18791,1
11989,11995,18797,18849,52
11989,11995,18911,18962,51
11989,11995,19014,19021,7
11989,11995,19359,19370,11
11989,11995,19463,19466,3
11989,11995,19468,19470,2
11989,11995,19497,19557,60
11989,11995,20295,20314,19
11989,11995,20452,20467,15
11989,11995,20527,20532,5
11989,11995,23238,23245,7
11989,11995,23351,23393,42
11989,11995,24053,24057,4
11989,11995,24059,24124,65
11989,11995,24216,24229,13
11989,11995,24566,24574,8
11989,11995,24638,24658,20
11989,11995,24817,24833,16
11989,11995,24859,24875,16
11989,11995,24892,24904,12
11989,11995,26342,26345,3
11989,11996,3,5,2
11989,11996,7,8,1
11989,11996,461,467,6
11989,11996,1606,1608,2
11989,11996,1624,1631,7
11989,11996,1727,1738,11
11989,11996,2875,2915,40
11989,11996,3070,3111,41
11989,11996,3127,3136,9
11989,11996,4555,4569,14
11989,11996,4583,4615,32
11989,11996,5367,5383,16
11989,11996,5955,5959,4
11989,11996,8475,8489,14
11989,11996,9862,9863,1
11989,11996,9865,9894,29
11989,11996,9932,9934,2
11989,11996,10646,10654,8
11989,11996,11150,11158,8
11989,11996,11195,11199,4
11989,11996,11201,11202,1
11989,11996,11356,11358,2
11989,11996,11467,11482,15
11989,11996,11485,11487,2
11989,11996,11771,11796,25
11989,11996,13386,13392,6
11989,11996,13416,13446,30
11989,11996,13488,13504,16
11989,11996,13554,13559,5
11989,11996,13721,13731,10
11989,11996,13839,13882,43
11989,11996,14489,14512,23
11989,11996,14537,14555,18
11989,11996,14576,14586,10
11989,11996,14712,14732,20
11989,11996,14776,14785,9
11989,11996,15997,16021,24
11989,11996,16290,16357,67
11989,11996,16390,16404,14
11989,11996,16634,16644,10
11989,11996,17341,17359,18
11989,11996,17389,17406,17
11989,11996,17413,17430,17
11989,11996,17438,17465,27
11989,11996,18308,18347,39
11989,11996,20451,20499,48
11989,11996,20512,20528,16
11989,11996,20535,20537,2
11989,11996,20709,20714,5
11989,11996,21649,21653,4
11989,11996,21765,21790,25
11989,11996,22373,22415,42
11989,11996,22421,22429,8
11989,11996,22597,22630,33
11989,11996,22632,22639,7
11989,11996,23269,23278,9
11989,11996,23353,23364,11
11989,11996,25971,25974,3
11989,11996,27071,27081,10
11989,11996,27162,27177,15
11989,11996,27413,27427,14
11989,11996,27714,27719,5
11989,11996,27775,27800,25
11989,11996,27893,27911,18
11989,11996,27953,27976,23
11989,11996,27996,28003,7
11989,11996,28020,28038,18
11989,11997,340,347,7
11989,11997,1001,1011,10
11989,11997,1018,1025,7
11989,11997,3642,3652,10
11989,11997,4422,4438,16
11989,11997,4459,4483,24
11989,11997,4641,4649,8
11989,11997,5597,5615,18
11989,11997,6148,6159,11
11989,11997,6164,6177,13
11989,11997,6301,6305,4
11989,11997,6424,6433,9
11989,11997,6498,6503,5
11989,11997,6506,6514,8
11989,11997,7161,7174,13
11989,11997,7799,7809,10
11989,11997,7814,7839,25
11989,11997,8151,8184,33
11989,11997,8327,8338,11
11989,11997,8395,8453,58
11989,11997,8920,8965,45
11989,11997,9137,9141,4
11989,11997,9143,9144,1
11989,11997,9154,9169,15
11989,11997,9212,9252,40
11989,11997,13462,13490,28
11989,11997,13763,13766,3
11989,11997,13772,13775,3
11989,11997,16598,16618,20
11989,11997,16687,16698,11
11989,11997,17547,17561,14
11989,11997,17674,17746,72
11989,11997,17754,17758,4
11989,11997,17762,17763,1
11989,11997,17855,17879,24
11989,11997,17902,17915,13
11989,11997,19528,19544,16
11989,11997,19885,19899,14
11989,11997,19933,19937,4
11989,11997,19943,19944,1
11989,11997,19946,19967,21
11989,11997,19975,19986,11
11989,11997,19988,19989,1
11989,11997,20171,20184,13
11989,11997,22646,22658,12
11989,11997,22885,22895,10
11989,11997,23001,23015,14
11989,11997,23025,23041,16
11989,11997,23180,23186,6
11989,11997,23188,23189,1
11989,11997,23215,23218,3
11989,11997,23225,23227,2
11989,11997,23243,23313,70
11989,11997,23319,23337,18
11989,11997,24373,24385,12
11989,11997,24394,24417,23
11989,11997,24454,24459,5
11989,11997,24468,24479,11
11989,11997,26076,26080,4
11989,11997,26109,26122,13
11989,11997,26296,26303,7
11989,11997,26686,26731,45
11989,11997,26734,26755,21
11989,11997,26759,26760,1
11989,11997,27609,27636,27
11989,11998,421,437,16
11989,11998,532,552,20
11989,11998,1655,1668,13
11989,11998,1672,1709,37
11989,11998,1962,1984,22
11989,11998,2269,2277,8
11989,11998,2302,2313,11
11989,11998,4615,4644,29
11989,11998,4666,4672,6
11989,11998,4754,4760,6
11989,11998,5393,5400,7
11989,11998,5413,5421,8
11989,11998,6369,6408,39
11989,11998,7343,7351,8
11989,11998,7752,7766,14
11989,11998,7768,7770,2
11989,11998,7772,7778,6
11989,11998,7815,7834,19
11989,11998,7889,7899,10
11989,11998,7922,7926,4
11989,11998,8108,8141,33
11989,11998,10666,10674,8
11989,11998,10749,10758,9
11989,11998,12001,12002,1
11989,11998,12224,12227,3
11989,11998,12255,12376,121
11989,11998,13291,13308,17
11989,11998,13447,13502,55
11989,11998,13841,13852,11
11989,11998,13855,13888,33
11989,11998,14220,14225,5
11989,11998,14732,14749,17
11989,11998,14767,14782,15
11989,11998,15864,15892,28
11989,11998,15917,15955,38
11989,11998,15967,16051,84
11989,11998,16055,16056,1
11989,11998,16060,16061,1
11989,11998,16072,16077,5
11989,11998,16083,16105,22
11989,11998,16107,16108,1
11989,11998,16604,16616,12
11989,11998,16664,16666,2
11989,11998,17640,17642,2
11989,11998,17660,17661,1
11989,11998,17671,17672,1
11989,11998,17700,17709,9
11989,11998,18189,18191,2
11989,11998,18258,18261,3
11989,11998,19592,19613,21
11989,11998,19658,19669,11
11989,11998,20602,20609,7
11989,11998,21639,21650,11
11989,11998,23100,23111,11
11989,11998,23166,23188,22
11989,11998,23387,23414,27
11989,11998,23451,23464,13
11989,11998,24027,24048,21
11989,11998,24229,24248,19
11989,11998,24454,24464,10
11989,11998,24485,24497,12
11989,11998,24508,24526,18
11989,11998,24530,24553,23
11989,11998,25220,25230,10
11989,11998,25369,25398,29
11989,11998,25407,25428,21
11989,11998,25585,25586,1
11989,11998,25603,25617,14
11989,11998,25632,25649,17
11989,11998,26268,26300,32
11989,11998,26687,26711,24
11989,11998,27230,27243,13
11989,11998,27353,27354,1
11989,11999,416,437,21
11989,11999,554,565,11
11989,11999,892,898,6
11989,11999,1409,1441,32
11989,11999,1773,1800,27
11989,11999,2180,2198,18
11989,11999,2207,2223,16
11989,11999,2238,2256,18
11989,11999,2274,2291,17
11989,11999,2810,2819,9
11989,11999,3163,3179,16
11989,11999,3845,3883,38
11989,11999,3885,3903,18
11989,11999,4503,4523,20
11989,11999,4784,4799,15
11989,11999,5354,5355,1
11989,11999,5681,5683,2
11989,11999,7761,7814,53
11989,11999,8008,8014,6
11989,11999,8110,8114,4
11989,11999,8126,8141,15
11989,11999,8143,8144,1
11989,11999,8148,8149,1
11989,11999,8717,8725,8
11989,11999,9292,9310,18
11989,11999,9314,9316,2
11989,11999,9336,9354,18
11989,11999,9357,9359,2
11989,11999,9365,9416,51
11989,11999,9654,9699,45
11989,11999,9712,9724,12
11989,11999,9742,9799,57
11989,11999,9809,9816,7
11989,11999,11677,11680,3
11989,11999,11687,11747,60
11989,11999,12160,12172,12
11989,11999,12928,12935,7
11989,11999,12939,12951,12
11989,11999,13106,13119,13
11989,11999,13435,13446,11
11989,11999,13489,13503,14
11989,11999,13865,13885,20
11989,11999,14683,14697,14
11989,11999,15120,15134,14
11989,11999,15147,15169,22
11989,11999,15520,15558,38
11989,11999,15617,15622,5
11989,11999,15625,15654,29
11989,11999,17369,17382,13
11989,11999,18330,18342,12
11989,11999,20363,20403,40
11989,11999,21935,21953,18
11989,11999,22022,22038,16
11989,11999,22050,22058,8
11989,11999,22065,22071,6
11989,11999,22224,22246,22
11989,11999,22779,22811,32
11989,11999,23002,23004,2
11989,11999,23009,23015,6
11989,11999,24014,24041,27
11989,11999,24044,24052,8
11989,11999,25128,25133,5
11989,11999,25226,25227,1
11989,11999,25501,25515,14
11989,11999,25635,25638,3
11989,11999,25644,25667,23
11989,11999,26002,26016,14
11989,11999,27529,27531,2
11989,11999,27615,27632,17
11989,11999,28117,28122,5
11989,11999,28153,28169,16
11989,12000,460,481,21
11989,12000,534,561,27
11989,12000,917,920,3
11989,12000,965,993,28
11989,12000,1925,1944,19
11989,12000,3261,3262,1
11989,12000,3269,3278,9
11989,12000,3347,3395,48
11989,12000,3954,3956,2
11989,12000,3960,3961,1
11989,12000,3978,4004,26
11989,12000,4006,4019,13
11989,12000,4054,4055,1
11989,12000,4448,4477,29
11989,12000,5084,5106,22
11989,12000,7140,7141,1
11989,12000,7316,7319,3
11989,12000,8504,8512,8
11989,12000,8514,8558,44
11989,12000,8651,8670,19
11989,12000,9661,9683,22
11989,12000,11198,11208,10
11989,12000,11226,11240,14
11989,12000,11257,11261,4
11989,12000,11263,11277,14
11989,12000,11475,11498,23
11989,12000,11506,11510,4
11989,12000,11573,11597,24
11989,12000,11830,11833,3
11989,12000,11874,11887,13
11989,12000,11952,11967,15
11989,12000,11992,11998,6
11989,12000,12000,12028,28
11989,12000,12042,12057,15
11989,12000,12159,12188,29
11989,12000,12248,12297,49
11989,12000,12600,12609,9
11989,12000,14295,14321,26
11989,12000,16762,16768,6
11989,12000,18963,18979,16
11989,12000,20654,20665,11
11989,12000,21853,21859,6
11989,12000,21881,21895,14
