,Total nodes,Total edges,Mean degree weight=count,Mean degree weight=duration(seconds),Degree heterogeneity,Degree heterogeneity (count),Degree heterogeneity (total duration (seconds)),Degree aassortativity,Degree aassortativity (count),Degree aassortativity (total duration (seconds)),Reciprocity,Network density,Global efficiency,Transitivity,Number of connected components,Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
CsCh_A3_24_05_2023-11_32,12.0,132.0,461.8333333333333,499.0208333333334,0.0,0.1059877356743807,0.13747454284161204,0.0,-0.06021344077569271,-0.06524911002212899,1.0,1.0,1.0,1.0,1.0,1.0,0.568270557873939,0.4414786623210731,0.0,0.01628787878787879,0.022727272727272724,1.0,0.049588463172901755,0.04827591018132644,0.0,0.0,0.0
CsCh_A3_20_04_2023-11_45,12.0,132.0,485.5,677.3819444444443,0.0,0.13937732838612205,0.19223461179820603,0.0,-0.07232233964035512,-0.07150653654895103,1.0,1.0,1.0,1.0,1.0,1.0,0.49790700126884463,0.36244851493571884,0.0,0.018181818181818184,0.028030303030303027,1.0,0.047631748273785746,0.03733648318303958,0.0,0.0,4.440892098500626e-16
CsCh_A2_19_04_2023-12_08,12.0,132.0,396.6666666666667,443.1666666666667,0.0,0.08174401873253663,0.10024713763265825,0.0,-0.0293786255083662,-0.05870111017145059,1.0,1.0,1.0,1.0,1.0,1.0,0.566539744391757,0.4676100074905827,0.0,0.00909090909090909,0.013636363636363636,1.0,0.0565754495064738,0.05163162165196427,0.0,0.0,0.0
CsCh_A1_24_05_2023-12_27,12.0,132.0,433.0,452.0763888888889,0.0,0.08291604189845839,0.08393764942739758,0.0,-0.02093528890824148,-0.023711103952606134,1.0,1.0,1.0,1.0,1.0,1.0,0.5815413161141917,0.4889374627930176,0.0,0.007954545454545454,0.011363636363636362,1.0,0.051708415449897856,0.05095356377259888,0.0,0.0,0.0
CsCh_A1_20_06_2023-12_05,12.0,132.0,504.3333333333333,521.9652777777777,0.0,0.13505078516188943,0.16340592887478445,0.0,-0.07583232698944259,-0.08202865777840525,1.0,1.0,1.0,1.0,1.0,1.0,0.4973158425956919,0.393640909104753,0.0,0.006439393939393939,0.013257575757575758,1.0,0.044713880675649575,0.04433968662643642,0.0,0.0,-1.1102230246251565e-16
CsCh_A2_24_05_2023-11_32,12.0,132.0,296.5,315.3333333333333,0.0,0.10031010350228284,0.10520366049625945,0.0,-0.053784282944546256,-0.06498747793775078,1.0,1.0,1.0,1.0,1.0,1.0,0.5433323380285072,0.5315262805934406,0.0,0.017550505050505052,0.023484848484848483,1.0,0.07689621452102381,0.07397468428356502,0.0,0.0,0.0
CsCh_A1_24_05_2023-11_32,12.0,132.0,378.1666666666667,410.6180555555556,0.0,0.11250004842424645,0.12187296963077965,0.0,-0.05850894864549372,-0.052543538137222276,1.0,1.0,1.0,1.0,1.0,1.0,0.5041986987861277,0.39463940112544854,0.0,0.017803030303030303,0.025000000000000005,1.0,0.061395899571840475,0.05756341463630731,0.0,0.0,0.0
CsCh_A1_05_05_2023-11_21,12.0,132.0,684.0,846.4722222222222,0.0,0.0581465912216685,0.07858803950376476,0.0,-0.04935668889887786,-0.05123475411288126,1.0,1.0,1.0,1.0,1.0,1.0,0.6392547418125898,0.6073013779213625,0.0,0.0011363636363636363,0.0030303030303030303,1.0,0.032296833772243794,0.026226500271469097,0.0,0.0,-2.220446049250313e-16
CsCh_A2_20_04_2023-11_45,12.0,132.0,504.3333333333333,683.5902777777778,0.0,0.08435838932857048,0.16350976821811103,0.0,-0.0581374468841874,-0.07895188686645713,1.0,1.0,1.0,1.0,1.0,1.0,0.5071521279564882,0.2897289723725877,0.0,0.00946969696969697,0.020454545454545458,1.0,0.045066834950583896,0.03613955950133598,0.0,0.0,4.440892098500626e-16
CsCh_A4_25_05_2023-12_44,12.0,132.0,454.8333333333333,487.2638888888889,0.0,0.14700239656269457,0.17162960479659334,0.0,-0.040006416363348334,-0.04746240268303856,1.0,1.0,1.0,1.0,1.0,1.0,0.5270181695766163,0.43984489971349233,0.0,0.012499999999999999,0.026515151515151516,1.0,0.05069892254771532,0.04965836085745077,0.0,0.0,0.0
