,Total edges,Average degree weight=count,Average degree weight=duration(seconds),Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
CsCh-2024-07-03--23-30-05,10.0,368.4,6696.0,1.0,0.6210758609287568,0.5982067304617548,0.0,0.05,0.06666666666666667,1.0,0.01113923587340516,0.0006807296448054243,0.0,0.0,0.0
CsCh-2024-07-03--23-44-31,10.0,248.8,5148.4,1.0,0.5626818492210928,0.4416751634989183,0.0,0.03333333333333333,0.06666666666666667,1.0,0.017342796071487053,0.0008600484684333753,0.0,0.0,0.0
CsCh-2024-07-04--00-13-03,10.0,288.8,6154.0,1.0,0.543492082834978,0.451455889739231,0.0,0.1,0.2,1.0,0.016510396407175477,0.0009996029140039784,0.0,0.0,0.0
CsCh-2024-07-04--00-14-08,10.0,378.4,7641.2,1.0,0.6236527166766817,0.5436654228743245,0.0,0.03333333333333333,0.03333333333333333,1.0,0.011261302741914276,0.0005519355163625895,0.0,0.0,0.0
CsCh-2024-07-04--00-16-10,10.0,258.0,5280.0,1.0,0.520233053742688,0.5090040802792019,0.0,0.13333333333333333,0.1,1.0,0.01697713791797833,0.0008645675204231315,0.0,0.0,0.0
CsCh-2024-07-04--19-19-29,10.0,234.8,4907.2,1.0,0.3586284127932032,0.3694904622543259,0.0,0.06666666666666667,0.06666666666666667,1.0,0.020047068987358564,0.0009009485369365064,0.0,0.0,0.0
CsCh-2024-07-04--20-35-36,10.0,305.6,5945.6,1.0,0.3688451394207334,0.34507441255751964,0.0,0.06666666666666667,0.06666666666666667,1.0,0.015869525252551246,0.0009353843682651209,0.0,0.0,0.0
CsCh-2024-07-04--20-43-05,10.0,247.6,5359.2,1.0,0.47383927682509197,0.48472100795458745,0.0,0.1,0.1,1.0,0.018340955891044626,0.0008502112218599844,0.0,0.0,0.0
CsCh-2024-07-04--20-43-20,10.0,318.0,6464.8,1.0,0.544507505276775,0.4488700013124374,0.0,0.1,0.13333333333333333,1.0,0.014863165051363921,0.0007675959395976801,0.0,0.0,0.0
CsCh-2024-07-04--21-32-15,10.0,417.2,8786.4,1.0,0.42173466524768166,0.4093696759090381,0.0,0.1,0.06666666666666667,1.0,0.013009205673061807,0.000624365142713092,0.0,0.0,0.0
