,Total nodes,Total edges,Mean degree weight=count,Mean degree weight=duration(seconds),Degree heterogeneity,Degree heterogeneity (count),Degree heterogeneity (total duration (seconds)),Degree aassortativity,Degree aassortativity (count),Degree aassortativity (total duration (seconds)),Reciprocity,Network density,Global efficiency,Transitivity,Number of connected components,Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
5672,12.0,132.0,1379.3333333333333,712.9305555555555,0.0,0.09549925331004479,0.09475089599884351,,-0.07579191646745878,-0.07806623908743253,1.0,1.0,1.0,1.0,1.0,1.0,0.571427140430586,0.5944140514172376,0.0,0.003787878787878788,0.008333333333333333,1.0,0.016090278843321773,0.03131741109134767,0.0,0.0,0.0
4290,12.0,132.0,1289.1666666666667,641.0972222222223,0.0,0.13731838520626713,0.1232270662354974,,-0.08105622416029225,-0.06594562764350606,1.0,1.0,1.0,1.0,1.0,1.0,0.592672496225917,0.5446622396328582,0.0,0.007575757575757576,0.022727272727272724,1.0,0.017509201316436157,0.036453319375945134,0.0,0.0,0.0
1053,12.0,132.0,1500.6666666666667,766.8194444444445,0.0,0.08732815867163936,0.06844219747963687,,-0.07739010012063696,-0.05969877907949657,1.0,1.0,1.0,1.0,1.0,1.0,0.5906752006338829,0.5869421517788851,0.0,0.0003787878787878788,0.0030303030303030303,1.0,0.014723761685982925,0.028927116942881876,0.0,0.0,-2.220446049250313e-16
5159,12.0,132.0,1471.0,754.861111111111,0.0,0.10525091348212748,0.06335112957232229,,-0.08270802054974487,-0.011905410375654206,1.0,1.0,1.0,1.0,1.0,1.0,0.6115847386616136,0.6513582291043163,0.0,0.0,0.0007575757575757576,1.0,0.015081920532237697,0.029281439351893476,0.0,0.0,2.220446049250313e-16
9154,12.0,132.0,1370.0,752.861111111111,0.0,0.10921498545580295,0.07394682802864924,,-0.0870358094819669,-0.053308426969106544,1.0,1.0,1.0,1.0,1.0,1.0,0.5944633608465559,0.5739077972779961,0.0,0.001893939393939394,0.006060606060606061,1.0,0.016190309163476458,0.0296253695801954,0.0,0.0,2.220446049250313e-16
5123,12.0,132.0,1234.0,656.201388888889,0.0,0.08417481017206838,0.08797435560540172,,-0.07657618930453884,-0.054628720814085534,1.0,1.0,1.0,1.0,1.0,1.0,0.6002847548525312,0.5283602125818551,0.0,0.0026515151515151512,0.012121212121212121,1.0,0.01797686812447291,0.03415548238387948,0.0,0.0,2.220446049250313e-16
9544,12.0,132.0,1260.3333333333333,668.7569444444445,0.0,0.12911989278488936,0.08328367492428425,,-0.08179911501933623,-0.04711083228404319,1.0,1.0,1.0,1.0,1.0,1.0,0.5361008751597749,0.6140168169059674,0.0,0.0030303030303030303,0.0053030303030303025,1.0,0.01776375894125753,0.0333369036518262,0.0,0.0,2.220446049250313e-16
7682,12.0,132.0,1332.8333333333333,666.2152777777778,0.0,0.09397396694283415,0.09429078519510346,,-0.05608596808961406,-0.03454722578340984,1.0,1.0,1.0,1.0,1.0,1.0,0.6574147020300711,0.517028050184334,0.0,0.0,0.004545454545454546,1.0,0.016683261034806173,0.03359109691623111,0.0,0.0,-3.3306690738754696e-16
6207,12.0,132.0,1320.6666666666667,669.3125,0.0,0.08068719211108753,0.07219298684329768,,-0.0759189018274251,-0.029522190593582066,1.0,1.0,1.0,1.0,1.0,1.0,0.5800710988822012,0.4622618663494495,0.0,0.0030303030303030303,0.006818181818181818,1.0,0.01678133947503538,0.03362827303358846,0.0,0.0,0.0
3820,12.0,132.0,1319.3333333333333,716.6875,0.0,0.08540264472218456,0.061708155479524275,,-0.06674428491801049,0.004412501362087801,1.0,1.0,1.0,1.0,1.0,1.0,0.5865524008882314,0.5712225114676821,0.0,0.0,0.0007575757575757576,1.0,0.01676601387952929,0.030891774137872682,0.0,0.0,-4.440892098500626e-16
